,Player,Nation,Pos,Squad,90s,Att,Succ,Succ%,NoCol,player_id
495,Riccardo Sottil,it ITA,FW,Fiorentina,8.9,5.06,1.46,28.9,94816803
496,Matìas Soulé,ar ARG,MFFW,Juventus,4.7,5.32,2.55,48.0,c13ddd3e
497,Adama Soumaoro,fr FRA,DF,Bologna,20.7,0.14,0.10,66.7,7b075c75
498,Leonardo Spinazzola,it ITA,DF,Roma,18.3,3.22,1.37,42.4,3626daea
499,Marco Sportiello,it ITA,GK,Atalanta,12.9,0.00,0.00,,ac4003af
500,Petar Stojanović,si SVN,DF,Empoli,15.8,1.77,0.57,32.1,13b44b02
501,Gabriel Strefezza,br BRA,FWMF,Lecce,25.4,3.50,1.38,39.3,674cfc5a,836436
502,Dávid Strelec,sk SVK,FW,Spezia,1.9,1.58,0.00,0.0,2cb9486d
503,Isaac Success,ng NGA,FW,Udinese,20.2,3.17,1.49,46.9,f573a8bf
504,Ibrahim Sulemana,gh GHA,MF,Hellas Verona,5.3,2.08,0.94,45.5,230c3f3a
505,Mile Svilar,rs SRB,GK,Roma,1.0,0.00,0.00,,bcf5058a
506,Wojciech Szczęsny,pl POL,GK,Juventus,25.5,0.04,0.04,100.0,01b8a2b2
507,Benjamin Tahirovic,ba BIH,MF,Roma,2.9,0.69,0.34,50.0,eb3022c3
508,Adrien Tameze,cm CMR,MF,Hellas Verona,31.9,1.54,0.75,49.0,8da74c05
509,Ciprian Tătărușanu,ro ROU,GK,Milan,16.0,0.00,0.00,,b056e3da
510,Filippo Terracciano,it ITA,DFMF,Hellas Verona,8.5,1.29,0.71,54.5,5cbb5ad6
511,Pietro Terracciano,it ITA,GK,Fiorentina,29.0,0.03,0.03,100.0,e1b0a70d
512,Aleksa Terzić,rs SRB,DF,Fiorentina,8.9,2.81,1.69,60.0,3ef0a2d7
513,Florian Thauvin,fr FRA,FWMF,Udinese,4.4,4.77,0.68,14.3,2b9fdeea
514,Malick Thiaw,de GER,DF,Milan,13.1,0.31,0.08,25.0,ff5ea0bf
515,Kristian Thorstvedt,no NOR,MF,Sassuolo,12.1,1.07,0.50,46.2,76ff8d0d
516,Jeremy Toljan,de GER,DF,Sassuolo,28.7,0.45,0.21,46.2,a96e5dc0
517,Rafael Tolói,it ITA,DF,Atalanta,28.9,0.52,0.21,40.0,c56dc39e
518,Fikayo Tomori,eng ENG,DF,Milan,28.7,0.21,0.10,50.0,7edfbb8a
519,Sandro Tonali,it ITA,MF,Milan,28.1,0.78,0.32,40.9,0db169ae
520,Lorenzo Tonelli,it ITA,DF,Empoli,0.2,0.00,0.00,,8cc29864
521,William Troost-Ekong,ng NGA,DF,Salernitana,3.9,0.00,0.00,,7ed4921e
522,Frank Tsadjout,it ITA,FWMF,Cremonese,10.2,1.76,1.08,61.1,0588a092
523,Alessandro Tuia,it ITA,DF,Lecce,5.7,0.70,0.35,50.0,26c54058
524,Martin Turk,si SVN,GK,Sampdoria,2.0,0.00,0.00,,14ae023f
525,Iyenoma Udogie,it ITA,DF,Udinese,29.0,4.00,1.62,40.5,7cd520e8,1052898
526,Samuel Umtiti,fr FRA,DF,Lecce,21.5,0.60,0.28,46.2,3eed9821
527,Diego Valencia,cl CHI,MFFW,Salernitana,2.6,0.77,0.00,0.0,71005acd
528,Emanuele Valeri,it ITA,DF,Cremonese,29.2,2.29,0.55,23.9,ec52b661
529,Mattia Valoti,it ITA,MFFW,Monza,5.0,2.00,0.60,30.0,c414df9d
530,Johan Vásquez,mx MEX,DF,Cremonese,19.0,0.68,0.53,76.9,5eaed77a
531,Matías Vecino,uy URU,MF,Lazio,17.0,0.29,0.18,60.0,44ac04e9
